Indice|Categoria|Marca|Descripcion|Precio
1|cuidadopersonal|Dove|Estuche Desodorante Clean Y Regalo  |$3.290
2|cuidadopersonal|Dove|Pack Essencial Y Gel De Ducha|$5.999
3|cuidadopersonal|Nivea|Estuche Antitraspirante Spray Sensitive  Y Reloj  |$4.190
4|cuidadopersonal|Nosotras|Jabón Líquido íntimo|$3.399
5|cuidadopersonal|Nosotras|Toallas Higiénicas Normal Tela Suave  |$999
6|cuidadopersonal|Leblon|Protector Solar Antioxidante Spf50 |$989
7|cuidadopersonal|Eucerin|Jabón Liquido De Cuidado Intimo |$9.999
8|cuidadopersonal|Simond's|Bloqueador Solar Spray  Spf50 |$1.990
9|cuidadopersonal|Adidas|Eau De Toilette Hombre Dynamic Pulse |$6.999
10|cuidadopersonal|Medicasp|Ketoconazol 1% Sh.|$9.499
11|cuidadopersonal|Dermatopic|Solución Limpiadora |$12.999
12|cuidadopersonal|Veet|Crema Depilatoria Corporal Para Piel Sensible Con Aloe Vera De 100ml 100 ml|$5.190
13|cuidadopersonal|Veet|Crema Depilatoria Corporal Para Piel Sensible Con Aloe Vera De 200ml 200 ml|$8.999
14|cuidadopersonal|Veet|Crema Depilatoria Corporal Para La Ducha Para Pieles Sensibles|$9.999
15|cuidadopersonal|Lactacyd|Jabón Intimo Hipoalergénico Y Libre De Parabenos Pro Bio|$4.990
16|cuidadopersonal|Pepsodent|Pasta De Dientes White Now|$2.490
17|cuidadopersonal|Pepsodent|Pasta Dental White Now Para Hombre Super Pure|$2.490
18|cuidadopersonal|Sandtan|Gel After Sun|$3.599
19|cuidadopersonal|Axe|Desodorante Spray Mix Y  Parlante De Regalo|$3.999
20|cuidadopersonal|Isdin|Woman Isdin Higiene íntima|$9.499
21|cuidadopersonal|Gelatti|Gel De Manos Diseño Minions|$1.990
22|cuidadopersonal|Schick|Pack De Máquina De Afeitar Más Un Gel |$4.799
23|cuidadopersonal|Oral-B|Pack De Cepillos De Dientes (2x1)|$1.990
24|cuidadopersonal|Oral-B|Pack De Pastas Dentales 3 D White|$3.590
25|cuidadopersonal|Oral-B|Pack De Cepillos De Dientes 3 D White |$3.590
26|cuidadopersonal|Oral-B|Pack De Cepillos De Dientes Antibacterial|$3.999
27|cuidadopersonal|Oral-B|Pack De Cepillos De Dientes 3 D White Luxe |$3.990
28|cuidadopersonal|Gozo & Flaño|Pack Desodorante Y Colonia De Hombre|$5.999
29|cuidadopersonal|Plenitud|Pañales Desechables Adultos Grande 22 unidades|$11.490
30|cuidadopersonal|Plenitud|Pañales Desechables Adultos Mediano|$11.490
31|cuidadopersonal|Ladysoft|Tampones Súper Con Aplicador|$3.999
32|cuidadopersonal|Nivea|Crema Corporal Bajo La Ducha Soft|$4.599
33|cuidadopersonal|Nivea|Protector Solar Protect & Refresh Spray Fps50|$8.999
34|cuidadopersonal|Gillette|Máquina Para Afeitar Recargable Fusion5 Proshield |$7.999
35|cuidadopersonal|Gillette|Espuma Para Afeitar Mach3 Triple Irritation Defense Sensitive |$5.999
36|cuidadopersonal|Gillette|Styler 3 En1 1 Máquina Para Afeitar + 1 Cartucho|$19.999
37|cuidadopersonal|Gillette|Gel Para Afeitar Fusion Proglide 2 En 1 Hidratante |$6.599
38|cuidadopersonal|Ladysoft|Tampones Con Aplicador Super 16 unidades|$3.999
39|cuidadopersonal|Oral-B|Cepillo De Dientes Infantil Extra Suave|$2.999
40|cuidadopersonal|Oral-B|Pack Dental Star Wars|$3.990
41|cuidadopersonal|Oral-B|Pack Dental Diseño Frozen|$3.990
